id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
125182567,4604296397887,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3410000,3990000,,580000,15,353,,available,,1000,1000,,147856,Kindle
36264193,8494418937805,"Kindle Paperwhite Gen 10 - 2019 vừa được ra mắt sau một chu kỳ dài hơn 3 năm và nó có màn hình phẳng, chống thấm nước và Bluetooth. Đây là Kindle Paperwhite đầu tiên có tích hợp Audiobook Audible, ch...",2850000,2850000,,0,0,169,,available,,1000,1000,,147856,Kindle
173387789,3214054442334,"Độ phân giải màn hình cực caoMáy đọc sách All New Kindle Oasis 3 với màn hình 7 inch và mật độ ảnh 300 ppi, văn bản hiển thị trên thiết bị với chất lượng sắc nét, đọc như giấy thật ngay cả trong ánh ...",5680000,5680000,,0,0,11,,available,,1000,1000,,147856,Kindle
217706932,8671886696124,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3420000,3990000,,570000,14,116,,available,,1000,1000,,147856,Kindle
252586291,8259108068504,  Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite ...,3990000,3990000,,0,0,97,,available,,1000,1000,,147856,Kindle
205750556,3682930546762,"Điện Thoại Oppo A57 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Thân máy, bộ sạc, cáp USB, dụng cụ lấy sim, sách hướng dẫn, ốp lưng điện thoại. Màn hình tràn viền, sắc nét- OPPO trang bị cho m...",3290000,4990000,,1700000,34,61,,available,,1000,1000,,25643,OPPO
271973414,7601310945460,"Nội dung quảng cáoGiờ đây với thiết kế titan nhẹ và bền chắc, cùng chip A17 Pro cho khả năng đa nhiệm khủng. Bắt trọn những khoảnh khắc đặc biệt khi đang di chuyển với hệ thống camera chuyên nghiệp l...",33490000,33490000,,0,0,58,,available,,1000,1000,,17827,Apple
91612670,6549204947898,"Thiết kế tinh xảo với mặt lưng bóng bẩyĐiện thoại OPPO A54 có thiết kế kiểu thiết kế tràn viền, giúp cho chiếc điện thoại có một màn hình siêu lớn nhưng vẫn vừa vặn trong lòng bàn tay, phù hợp cho mọ...",3090000,5990000,,2900000,48,239,,available,,1000,1000,,25643,OPPO
57809866,6693737306374,"Màn hình giọt nước, viền máy mỏngĐiện thoại Xiaomi Redmi 9A sở hữu một màn hình tràn viền kích thước cực lớn 6.53 inch với thiết kế theo kiểu giọt nước quen thuộc, đi theo xu hướng chung của những mẫ...",1790000,2490000,,700000,28,757,,available,,1000,1000,,25422,Xiaomi
271966786,3577192583861,"Nội dung quảng cáoiPhone 15 sở hữu Dynamic Island, camera Chính 48MP và USB-C trong thiết kế bằng kính pha màu và nhôm bền bỉ. Tính năng nổi bậtDYNAMIC ISLAND RA MẮT TRÊN IPHONE 15 — Dynamic Isla...",20990000,20990000,,0,0,24,,available,,1000,1000,,17827,Apple
271362153,1176146850399,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3590000,4590000,,1000000,22,0,,available,,1000,1000,,147856,Kindle
270510406,4763759740069,...,5790000,6290000,,500000,8,0,,available,,1000,1000,,52232,Vivo
163914808,3951612829798,"Treo tường hoặc để bànĐiều chỉnh âm lượng, chuôngQuay số nhanhĐèn tín hiệuSản xuất tại MalaysiaBảo hành 1 năm chính hãng Panasonic Giá bán đã thuế 10% VAT...",290000,300000,,10000,3,121,,available,,1000,1000,,18804,Panasonic
272909668,6076389297807,...,8990000,8990000,,0,0,0,,available,,1000,1000,,52232,Vivo
217645692,6487670580863,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3890000,3890000,,0,0,0,,available,,1000,1000,,147856,Kindle
271972435,1237118640452,"Nội dung quảng cáoiPhone 15 Pro. Được đúc từ titan và trang bị chip A17 Pro đột phá, nút Tác Vụ có thể tùy chỉnh, và hệ thống camera chuyên nghiệp linh hoạt hơn. Tính năng nổi bậtĐƯỢC ĐÚC TỪ TI...",27490000,27490000,,0,0,23,,available,,1000,1000,,17827,Apple
183330021,7453477983299,"Nội dung quảng cáoMạnh mẽ. Dễ sử dụng. Linh hoạt. iPad có màn hình Retina 10.2 inch tuyệt đẹp, chip A13 Bionic mạnh mẽ, camera trước Ultra Wide có tính năng Trung Tâm Màn Hình, tương thích với Apple ...",6990000,10990000,,4000000,36,867,,available,,1000,1000,,17827,Apple
125182567,4604296397887,Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite 4 đã ra ...,3410000,3990000,,580000,15,353,,available,,1000,1000,,147856,Kindle
197670818,2942333865801,"Rộng mở thêm trải nghiệmGiải trí bất tận mỗi ngày, thoải mái thưởng thức nhiều nội dung hơn với màn hình tràn viền vô cực Infinity-V 6,5inch trên Điện thoại Samsung Galaxy A04s. Tận hưởng nội dung hi...",2890000,3990000,,1100000,28,47,,available,,1000,1000,,18802,Samsung
214756058,5239906950205,"Sản phẩm đầu tiên thuộc dòng basic có độ phân giải 300ppiMáy đọc sách New Kindle 11th 2022 (16GB) được nâng cấp với màn hình độ phân giải 300ppi (so với 167ppi) của đời trước, cổng kết nối USB-Type C...",2650000,3190000,,540000,17,47,,available,,1000,1000,,147856,Kindle
201067649,6927586640656, ...,3390000,3990000,,600000,15,101,,available,,1000,1000,,147856,Kindle
181928619,6795214532367,"Màn hình LCD 1.6” hiển thị rõ nét, đèn màn hình màu cam.- Danh bạ lưu 50 tên và số, chia sẻ danh bạ giữa các tay con- Hiển thị 50 số gọi đến- Nhớ 10 số gọi đi- 6 số gọi nhanh- Đàm thoại 3 bên- Loa ...",990000,990000,,0,0,13,,available,,1000,1000,,18804,Panasonic
226552005,5087831143894,"– Nhớ 50 số gọi đến 10 số gọi đi.– Khoá đường dài, di động bằng mã._ Hiển thị số gọi đến, gọi đi  Bảo hành 12 tháng chính hãngGiá bán đã bao gồm xuất hoá đơn 10% VAT Lưu ý: Điện thoại khô...",588000,588000,,0,0,21,,available,,1000,1000,,18804,Panasonic
202182043,5246263463940,"Không gian hiển thị sắc nétVivo Y35 có kích thước màn hình 6.58 inch đi cùng là tấm nền IPS LCD, độ phân giải Full HD+ với những thông số trên chất lượng hình ảnh hiển thị có chi tiết tốt, góc nhìn r...",4590000,6990000,,2400000,34,0,,available,,1000,1000,,52232,Vivo
181927801,5355086404171,"Màn hình LCD 1.6” hiển thị rõ nét, đèn màn hình màu cam.- Danh bạ lưu 50 tên và số, chia sẻ danh bạ giữa các tay con- Hiển thị 50 số gọi đến, 10 số gọi đi, 6 số gọi nhanh- Đàm thoại 3 bên- Loa ngo...",1590000,1590000,,0,0,13,,available,,1000,1000,,18804,Panasonic
120295859,8479763016056,"Nokia C30 là dòng smartphone giá rẻ được Nokia chăm chút và đầu tư kỹ lưỡng với những nâng cấp đáng kể cả về ngoại hình lẫn hiệu năng, hứa hẹn mang đến cho người dùng những trải nghiệm tuyệt vời hơn b...",1490000,1990000,,500000,25,176,,available,,1000,1000,,19673,Nokia
184059211,3643515408223,iPhone 13. Hệ thống camera kép tiên tiến nhất từng có trên iPhone. Chip A15 Bionic thần tốc. Bước nhảy vọt về thời lượng pin. Thiết kế bền bỉ. Mạng 5G siêu nhanh.1 Cùng với màn hình Super Retina XDR s...,16090000,24990000,,8900000,36,1793,,available,,1000,1000,,17827,Apple
271967379,6750971196270,Nội dung quảng cáoLuôn cập nhật những thông tin mới nhất cho công việc của bạn với các cảnh báo trên Dynamic Island và Hoạt Động Trực Tiếp. Biến những sản phẩm tốt nhất của bạn trở nên sống động với ...,24990000,24990000,,0,0,9,,available,,1000,1000,,17827,Apple
270471106,9150084549199,"Thiết kế nhỏ gọn, mặt lưng nhám bám tay  Nếu bạn đang muốn tìm kiếm một chiếc điện thoại có bàn phím vật lý, thì Nokia vẫn luôn là thương hiệu được nghĩ đến đầu tiên. Những chiếc điện thoại Nokia nổi...",650000,680000,,30000,4,17,,available,,1000,1000,,19673,Nokia
184253251,7026135914764,"iPad Air. Với màn hình Liquid Retina 10.9 inch sống động.1 Chip Apple M1 đột phá cho hiệu năng nhanh hơn, giúp iPad Air trở nên siêu mạnh mẽ để sáng tạo và chơi game di động. Sở hữu Touch ID, camera t...",13650000,18990000,,5340000,28,226,,available,,1000,1000,,17827,Apple
197214015,1813388284666,"Nội dung quảng cáoiPhone 14 Plus. Nghĩ lớn cùng màn hình 6,7 inch lớn hơn1 và thời lượng pin bền bỉ cả ngày.2 Chụp những bức ảnh tuyệt đẹp trong điều kiện thiếu sáng và dư sáng cùng hệ thống camera k...",20990000,27990000,,7000000,25,129,,available,,1000,1000,,17827,Apple
175845367,1676834040443,"Màn hình giải trí siêu mượt 120 HzSamsung Galaxy S20 FE được trang bị màn hình siêu tràn viền Infinity-O có kích thước 6.5 inch đi cùng tấm nền Super AMOLED, độ phân giải Full HD+ cho người dùng dễ ...",7090000,9990000,,2900000,29,193,,available,,1000,1000,,18802,Samsung
271046571,5969003526113,"Vẻ ngoài thời trang cùng màu sắc mới mẻRedmi Note 12 được tạo hình bằng một vẻ ngoài quen thuộc với các cạnh cùng hai mặt vát phẳng tinh tế, những vị trí giao nhau giữa mặt lưng và bộ khung cũng sẽ đ...",4490000,4530000,,40000,1,12,,available,,1000,1000,,25422,Xiaomi
197216291,7801946163627,Nội dung quảng cáoiPhone 14 Pro Max. Bắt trọn chi tiết ấn tượng với Camera Chính 48MP. Trải nghiệm iPhone theo cách hoàn toàn mới với Dynamic Island và màn hình Luôn Bật. Công nghệ an toàn quan trọng...,26450000,33990000,,7540000,22,527,,available,,1000,1000,,17827,Apple
270978283,3753016164978,"Thiết kế hiện đại, thanh lịchĐiện thoại Galaxy A34 5G sở hữu thiết kế khác hoàn toàn so với thế hệ tiền nhiệm Galaxy A33 5G 128GB. Vẻ ngoài của chiếc điện thoại mới này khá giống với Galaxy S23 5G 25...",5990000,8490000,,2500000,29,10,,available,,1000,1000,,18802,Samsung
250109584,5991957515400,"Xiaomi Redmi Note 12 4GB có thể xem là cái tên rất đáng chú ý trong phân khúc điện thoại tầm trung hiện nay với nhiều ưu điểm nổi bật, sở hữu con chip Snapdragon 685 cùng bộ 3 cảm biến máy ảnh có độ p...",3750000,4990000,,1240000,25,7,,available,,1000,1000,,25422,Xiaomi
253269077,7540957020809,   ...,3290000,4490000,,1200000,27,28,,available,,1000,1000,,18802,Samsung
252586291,8259108068504,  Amazon vừa chính thức ra mắt thế hệ tiếp theo của dòng máy đọc sách Kindle Paperwhite.Kindle Paperwhite 5 (hay Kindle Paperwhite 11th Gen) là phiên bản thay thế cho chiếc Kindle Paperwhite ...,3990000,3990000,,0,0,97,,available,,1000,1000,,147856,Kindle
205815593,1377439255070,"Apple iPad Pro 11-inch M2 Wi-Fi, 2022Nội dung về tính năngiPad Pro. Với hiệu năng ấn tượng, kết nối không dây siêu nhanh và trải nghiệm Apple Pencil thế hệ mới. Cùng với các tính năng mới mạnh mẽ ch...",19990000,23990000,,4000000,17,89,,available,,1000,1000,,17827,Apple
197216279,1974938370781,"Nội dung quảng cáoiPhone 14 Pro. Bắt trọn chi tiết ấn tượng với Camera Chính 48MP. Trải nghiệm iPhone theo cách hoàn toàn mới với Dynamic Island và màn hình Luôn Bật. Phát Hiện Va Chạm,1 một tính năn...",23990000,30990000,,7000000,23,264,,available,,1000,1000,,17827,Apple
272270730,7044203760003,...,2999000,3090000,,91000,3,0,,available,,1000,1000,,18802,Samsung
271467653,2446167505131,"Thiết kế trẻ trung hiện đạiRealme C51 là mẫu máy có thiết kế nguyên khối được tạo hình theo kiểu phẳng ở cả mặt lưng và màn hình. Với góc cạnh vuông vức, chiếc điện thoại mang đến một cảm giác mạnh m...",3190000,3990000,,800000,20,2,,available,,1000,1000,,247549,Realme
201067649,6927586640656, ...,3390000,3990000,,600000,15,101,,available,,1000,1000,,147856,Kindle
272222033,1009596276042,"BOOX PALMAGiải phóng sức mạnh của Máy đọc sách di độngVỚI PALMAThiết bị máy đọc sách đầu tiên của Boox được thiết kế với kích thước bằng điện thoại, sử dụng màn hình E-ink với hiệu suất tiên tiến,...",7300000,8590000,,1290000,15,1,,available,,1000,1000,,183637,Onyx Boox
270978486,6460434938850,"Thiết kế hiện đại, kiểu dáng vuông vức hợp xu hướngNgười sử dụng đánh giá khá cao về phần thiết kế bên ngoài của Galaxy M14 với những đường nét cong bo vô cùng tinh tế ở vị trí 4 góc. Phần khung viền...",4490000,5490000,,1000000,18,3,,available,,1000,1000,,18802,Samsung
184036446,9320936798992,"Nội dung về tính năngQuay video 4K, chụp ảnh chân dung tuyệt đẹp và chụp phong cảnh rộng với hệ thống camera kép hoàn toàn mới. Chụp ảnh tối ưu trong điều kiện ánh sáng yếu với chế độ Ban Đêm. Xem ản...",10490000,12990000,,2500000,19,2967,,available,,1000,1000,,17827,Apple
